               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11352,            0.031496,                   0,            0.021505,            0.037037,           0.0057941,          0.00088542,            0.062216,             0.02287,                   0,             0.00017,             0.00017,             0.09847
                   1,            0.083177,              0.0325,                   0,             0.15727,             0.11062,            0.050923,            0.013219,            0.040007,            0.020595,                   0,             0.00035,             0.00035,             0.09685
                   2,            0.062282,            0.031616,                   0,             0.67331,             0.37037,              0.4829,             0.18256,            0.031861,            0.018092,                   0,          0.00052999,          0.00052999,             0.09523
                   3,            0.058558,            0.030071,                   0,             0.76695,             0.74074,              0.7836,              0.3372,             0.02515,            0.015187,                   0,          0.00070997,          0.00070997,             0.09361
                   4,            0.048734,            0.024976,                   0,             0.78086,             0.92593,             0.91192,              0.4208,            0.029745,            0.012526,                   0,          0.00088994,          0.00088994,             0.09199
                   5,            0.048971,            0.019425,                   0,             0.95447,             0.77644,             0.90312,             0.53286,            0.021616,            0.010178,                   0,           0.0010699,           0.0010699,             0.09037
                   6,              0.0444,            0.017853,                   0,             0.81093,             0.81481,             0.84995,             0.54225,            0.023198,           0.0092585,                   0,           0.0012498,           0.0012498,             0.08875
                   7,            0.045683,             0.01735,                   0,             0.67541,             0.92485,             0.82385,             0.35566,            0.030345,           0.0078981,                   0,           0.0014297,           0.0014297,             0.08713
                   8,            0.045597,            0.015614,                   0,             0.96134,             0.92593,             0.97554,             0.69825,            0.018541,           0.0071407,                   0,           0.0016095,           0.0016095,             0.08551
                   9,            0.049444,              0.0152,                   0,              0.8061,             0.92392,             0.90328,             0.52626,            0.023482,            0.007445,                   0,           0.0017893,           0.0017893,            0.083889
                  10,            0.047061,            0.015841,                   0,             0.74911,             0.88889,             0.87183,             0.55675,            0.022868,           0.0069556,                   0,           0.0019691,           0.0019691,            0.082269
                  11,            0.044165,            0.015865,                   0,             0.74921,                   1,             0.87566,             0.56146,            0.028486,           0.0069716,                   0,           0.0021488,           0.0021488,            0.080649
                  12,            0.043699,            0.014701,                   0,             0.89988,              0.9987,             0.98645,             0.61811,            0.018183,           0.0066694,                   0,           0.0023285,           0.0023285,            0.079028
                  13,            0.041363,            0.014281,                   0,                   1,             0.99871,               0.995,             0.70613,            0.026298,           0.0056533,                   0,           0.0025081,           0.0025081,            0.077408
                  14,            0.039431,            0.014149,                   0,             0.92849,             0.96186,             0.97827,             0.66264,            0.019401,            0.005214,                   0,           0.0026876,           0.0026876,            0.075788
                  15,            0.038036,            0.013713,                   0,             0.96415,                   1,                0.99,              0.5512,             0.01887,           0.0053487,                   0,           0.0028671,           0.0028671,            0.074167
                  16,            0.036339,            0.012593,                   0,             0.99991,                   1,               0.995,             0.71479,            0.020823,           0.0049999,                   0,           0.0030465,           0.0030465,            0.072546
                  17,            0.038971,            0.012019,                   0,             0.99988,                   1,               0.995,             0.68762,            0.021694,           0.0047628,                   0,           0.0032258,           0.0032258,            0.070926
                  18,            0.036565,            0.012201,                   0,             0.99979,                   1,               0.995,             0.76653,             0.02014,           0.0042587,                   0,            0.003405,            0.003405,            0.069305
                  19,            0.035086,            0.012114,                   0,             0.71219,             0.92593,             0.87963,             0.51334,            0.030428,             0.00418,                   0,           0.0035841,           0.0035841,            0.067684
